compound_name,Smiles,pIC50
MOESM1_1,S(Oc1cc2CC[C@H]3[C@@H]4CC[C@H](O)[C@]4(CC[C@@H]3c2cc1)C)(=O)(=O)[O-],4.876651299364003
MOESM1_2,S(Oc1cc2OC(=O)C=C(c2cc1)C)(=O)(=O)[O-],5.035471441983999
MOESM1_3,s1c2c(nc1NC)c(Cc1cccnc1)c(C)c(OS(=O)(=O)[O-])c2C,5.192144869196
MOESM1_4,S(Oc1ccc([N+](=O)[O-])cc1)(=O)(=O)[O-],4.653543032671999
MOESM1_5,S(=O)(=O)([O-])CCNC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1([C@@H](C[C@H](OS(=O)(=O)[O-])CC1)CC3)C,4.6953837133613305
MOESM1_25,O(C)c1cc2[nH]c3c(C[C@@H]4N([C@H]3CC(C)C)C(=O)[C@@H](NC4=O)CCC(OC(C)(C)C)=O)c2cc1,5.987006483130666
MOESM1_26,Clc1ccc(cc1C(=O)NCC12CC3CC(C1)CC(C2)C3)CCC[NH2+]CCCO,4.692315214183998
MOESM1_27,O(C)c1cc(ccc1OC)\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1cc(OC)c(OC)cc1,5.7360063140360005
MOESM1_28,O(C)c1ccc(OC)cc1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1cc(OC)ccc1OC,5.97692851816
MOESM1_29,O(C)c1cc(OC)c(OC)cc1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1cc(OC)c(OC)cc1OC,6.126770711508
MOESM1_30,O(C)c1cc(OC)cc(OC)c1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1c(OC)cc(OC)cc1OC,6.023946479088
MOESM1_31,O(C)c1cccc(OC)c1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1c(OC)cccc1OC,6.457942948960002
MOESM1_32,O(C)c1c(OC)c(OC)ccc1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1ccc(OC)c(OC)c1OC,6.029578479488
MOESM1_33,O(C)c1c(OC)cc(cc1OC)C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1cc(OC)c(OC)c(OC)c1,5.826084689416
MOESM1_34,O(C)c1cc(ccc1OC)C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1cc(OC)c(OC)cc1,5.711722997196
MOESM1_35,O(C)c1cc(OC)ccc1C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1ccc(OC)cc1OC,5.9507239769239995
MOESM1_36,O(C)c1ccc(OC)cc1C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1cc(OC)ccc1OC,5.859407899636
MOESM1_37,O(C)c1cc(cc(OC)c1)C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1cc(OC)cc(OC)c1,6.165823621124
MOESM1_38,O(C)c1ccccc1C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1ccccc1OC,5.53528854443
MOESM1_39,O(C)c1cc(OC)cc(OC)c1C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1c(OC)cc(OC)cc1OC,5.854778904232
MOESM1_61,O(C)c1cc(OC)cc(O)c1C(=O)\C=C\c1cc(OC)cc(OC)c1,6.526962663859999
MOESM1_64,O(C)c1cc(OC)cc(O)c1C(=O)\C=C\c1cc(OC)ccc1,6.549520242
MOESM1_70,O(C)c1cc(OC)cc(OC)c1\C=C\C(=O)c1c2c(n(c1)C)cccc2,6.289044865167999
MOESM1_71,O(C)c1cccc(OC)c1\C=C\C(=O)c1c2c(n(c1)C)cccc2,6.391807610872001
MOESM1_72,O(C)c1cc(OC)cc(OC)c1\C=C\C(=O)c1c2cc(OC)ccc2n(c1)C,6.330882999984
MOESM1_77,O(C)c1cc(OC)cc(O)c1C(=O)\C=C\c1c(OC)cccc1OC,6.362895180792
MOESM1_78,Brc1cc(cc(Br)c1OC)\C=C\NC(=O)/C(/OC)=C/c1ccc(O)cc1,5.139169020437201
MOESM1_81,Brc1cc(ccc1OC)\C=C\NC(=O)/C(/OC)=C\c1ccc(O)cc1,5.2486108119673345
MOESM1_82,O(C)c1ccc(cc1)\C=C\NC(=O)/C(/OC)=C/c1ccc(O)cc1,5.199875115456868
MOESM1_83,Oc1ccc(cc1)\C=C(/OC)\C(=O)N\C=C\c1ccc(O)cc1,5.092527560654133
